Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Cale Makar D,9 UFA,"","RD",NHL,27,7.65,17.34,17.34,17.34,17.34,17.34,0,470,470,False
Jackson LaCombe D,8 UFA,"","LD",NHL,25,7.65,7.65,7.65,7.65,7.65,7.65,0,230,230,False
Jakob Chychrun D,7 UFA,"NMC","LD",NHL,28,7.65,7.65,7.65,7.65,7.65,7.65,,,,False
Luke Hughes D,6 UFA,"","LD, RD",NHL,22,7.65,7.65,7.65,7.65,7.65,7.65,0,223,223,False
Dougie Hamilton D,2 UFA,"M-NTC, NMC","RD",NHL,33,7.65,7.65,UFA,,,,,,,False
Juraj Slafkovsky RW,7 UFA,"","RW, LW",NHL,22,7.6,7.6,7.6,7.6,7.6,7.6,0,282,282,False
Lane Hutson D,8 UFA,"","RD, LD",NHL,22,7.5225,7.5225,7.5225,7.5225,7.5225,7.5225,0,166,166,False
Dustin Wolf G,7 UFA,"","G",NHL,25,7.5,7.5,7.5,7.5,7.5,7.5,0,128,128,False
Zach Benson LW,7 UFA,"","LW",NHL,21,7.5,7.5,7.5,7.5,7.5,7.5,0,211,211,False
Gabriel Vilardi RW,5 UFA,"","RW, C",NHL,27,7.5,7.5,7.5,7.5,7.5,UFA,0,352,352,False
Shane Pinto C,4 UFA,"","C",NHL,25,7.5,7.5,7.5,7.5,UFA,,0,282,282,False
Brock Nelson C,2 UFA,"NMC","C",NHL,34,7.5,7.5,UFA,,,,,,,False
Alex Pietrangelo D,1 UFA,"NMC","RD",IR,36,7.48,UFA,,,,,,,,False
Alexis Lafreniere RW,6 UFA,"","RW",NHL,24,7.45,7.45,7.45,7.45,7.45,7.45,0,462,462,False
Moritz Seider D,5 UFA,"","RD",NHL,25,7.2675,7.2675,7.2675,7.2675,7.2675,UFA,0,410,410,False
Nico Hischier C,6 UFA,"M-NTC","C",NHL,27,7.25,11.7,11.7,11.7,11.7,11.7,,,,False
Brock Boeser RW,6 UFA,"NMC","RW, LW",NHL,29,7.25,7.25,7.25,7.25,7.25,7.25,,,,False
Darren Raddysh D,8 UFA,"NMC","RD",NHL,30,7.225,7.225,7.225,7.225,7.225,7.225,,,,False
Rasmus Andersson D,7 UFA,"NTC","RD",NHL,29,7.225,7.225,7.225,7.225,7.225,7.225,,,,False
Brock Faber D,7 UFA,"","RD",NHL,24,7.225,7.225,7.225,7.225,7.225,7.225,0,242,242,False
Ivan Provorov D,6 UFA,"NMC","LD, RD",NHL,29,7.225,7.225,7.225,7.225,7.225,7.225,,,,False
Mikhail Sergachev D,5 UFA,"NTC","LD",NHL,28,7.225,7.225,7.225,7.225,7.225,UFA,,,,False
John Carlson D,2 UFA,"NMC","RD",NHL,36,7.225,7.225,UFA,,,,,,,False
Miro Heiskanen D,3 UFA,"NMC","RD",NHL,27,7.1825,7.1825,7.1825,UFA,,,,,,False
Clayton Keller LW,2 UFA,"NMC","LW, RW",NHL,28,7.15,7.15,UFA,,,,,,,False
Dylan Guenther RW,7 UFA,"","RW",NHL,23,7.142857,7.142857,7.142857,7.142857,7.142857,7.142857,0,227,227,False
Matty Beniers C,5 UFA,"","C",NHL,23,7.142857,7.142857,7.142857,7.142857,7.142857,UFA,0,331,331,False
Tage Thompson C,4 UFA,"M-NTC","C, RW",NHL,28,7.142857,7.142857,7.142857,7.142857,UFA,,,,,False
Dylan Cozens C,4 UFA,"","C",NHL,25,7.1,7.1,7.1,7.1,UFA,,0,444,444,False
Owen Power D,5 UFA,"","RD, LD",NHL,23,7.0975,7.0975,7.0975,7.0975,7.0975,UFA,0,323,323,False
Jacob Trouba D,4 UFA,"NTC","RD",NHL,32,7.0125,7.0125,7.0125,7.0125,UFA,,,,,False
Carter Verhaeghe LW,7 UFA,"NMC","LW, C",NHL,31,7.0,7.0,7.0,7.0,7.0,7.0,,,,False
Mason McTavish C,5 UFA,"","C, LW",NHL,23,7.0,7.0,7.0,7.0,7.0,UFA,0,304,304,False
Troy Terry RW,4 UFA,"M-NTC","RW",NHL,28,7.0,7.0,7.0,7.0,UFA,,,,,False
Matt Boldy RW,4 UFA,"","RW, LW",NHL,25,7.0,7.0,7.0,7.0,UFA,,0,361,361,False
Gabriel Landeskog LW,3 UFA,"M-NTC, NMC","LW",NHL,33,7.0,7.0,7.0,UFA,,,,,,False
Nazem Kadri C,3 UFA,"M-NTC","C, LW",NHL,35,7.0,7.0,7.0,UFA,,,,,,False
Sergei Bobrovsky G,3 UFA,"NMC","G",NHL,37,7.0,7.0,7.0,UFA,,,0,806,806,False
Mikael Granlund C,2 UFA,"M-NTC","C, RW",NHL,34,7.0,7.0,UFA,,,,,,,False
Josh Doan RW,7 UFA,"","RW, LW",NHL,24,6.95,6.95,6.95,6.95,6.95,6.95,0,144,144,False
Jake Sanderson D,6 UFA,"","LD",NHL,24,6.8425,6.8425,6.8425,6.8425,6.8425,6.8425,0,303,303,False
Philip Broberg D,6 UFA,"","LD",NHL,25,6.8,6.8,6.8,6.8,6.8,6.8,0,230,230,False
Filip Gustavsson G,5 UFA,"NMC","G",NHL,28,6.8,6.8,6.8,6.8,6.8,UFA,0,219,219,False
Victor Hedman D,3 UFA,"NMC","LD, RD",NHL,35,6.8,6.8,6.8,UFA,,,,,,False
Thomas Chabot D,2 UFA,"M-NTC","LD",NHL,29,6.8,6.8,UFA,,,,,,,False
Connor McMichael LW,6 UFA,"","LW, C",NHL,25,6.75,6.75,6.75,6.75,6.75,6.75,0,315,315,False
Mason Marchment LW,5 UFA,"NTC","LW",NHL,31,6.75,6.75,6.75,6.75,6.75,UFA,,,,False
Quinn Hughes D,1 UFA,"","LD",NHL,26,6.6725,UFA,,,,,0,507,507,False
Frank Nazar C,7 UFA,"","C",NHL,22,6.599991,6.599991,6.599991,6.599991,6.599991,6.599991,0,122,122,False
Matt Coronato RW,6 UFA,"","RW",NHL,23,6.5,6.5,6.5,6.5,6.5,6.5,0,192,192,False
Brandon Hagel LW,6 UFA,"NTC","LW",NHL,28,6.5,6.5,6.5,6.5,6.5,6.5,,,,False
Tom Wilson RW,5 UFA,"M-NTC","RW",NHL,32,6.5,6.5,6.5,6.5,6.5,UFA,,,,False
Lukas Dostal G,4 UFA,"","G",NHL,26,6.5,6.5,6.5,6.5,UFA,,0,177,177,False
Brayden Schenn C,2 UFA,"M-NTC","C, LW",NHL,35,6.5,6.5,UFA,,,,,,,False
Chris Kreider LW,1 UFA,"M-NTC, NMC","LW",NHL,35,6.5,UFA,,,,,,,,False
Mats Zuccarello RW,1 UFA,"NTC","RW",NHL,39,6.5,UFA,,,,,,,,False
Brendan Gallagher RW,1 UFA,"M-NTC, NMC","RW",NHL,34,6.5,UFA,,,,,,,,False
Jared Spurgeon D,1 UFA,"M-NTC","RD",NHL,36,6.43875,UFA,,,,,,,,False
John Gibson G,1 UFA,"M-NTC","G",NHL,33,6.4,UFA,,,,,0,563,563,False
K'Andre Miller D,7 UFA,"","LD",NHL,26,6.375,6.375,6.375,6.375,6.375,6.375,0,440,440,False
Morgan Rielly D,4 UFA,"NMC","LD",NHL,32,6.375,6.375,6.375,6.375,UFA,,,,,False
